2016-10-06 17:10:30.8114|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
参数名: commitModel
   在 GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   在 GitHub.ViewModels.CommitViewModel..ctor(IRepositoryModel repository, ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   在 GitHub.Helpers.CommitCreator.<>c__DisplayClass2.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   在 System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2016-10-06 16:56:09.3591|INFO|thread: 4|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 490:GitClient.cs:199 after waiting 6.58E-05s
2016-10-06 16:56:09.3591|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 491:RepositoryModel.cs:596
2016-10-06 16:56:09.3591|INFO|thread:40|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 491:RepositoryModel.cs:596 after waiting 0.0005053s
2016-10-06 16:56:09.3721|INFO|thread:49|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 492:GitClient.cs:288
2016-10-06 16:56:09.3721|INFO|thread:45|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 492:GitClient.cs:288 after waiting 0.0001409s
2016-10-06 16:56:09.3721|INFO|thread:49|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 493:BranchSynchronizer.cs:126
2016-10-06 16:56:09.3721|INFO|thread:49|AsyncReaderWriterLock|Released concurrent scheduler for operation: 491:RepositoryModel.cs:596 after blocking 0.0115837s
2016-10-06 16:56:09.3721|INFO|thread:49|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 493:BranchSynchronizer.cs:126 after waiting 0.0002683s
2016-10-06 16:56:09.3821|INFO|thread:49|ConcurrentRepositoryConnection|branch stats: ahead 0, behind 0 on master
2016-10-06 16:56:09.3821|INFO|thread:49|AsyncReaderWriterLock|Released concurrent scheduler for operation: 493:BranchSynchronizer.cs:126 after blocking 0.0099806s
2016-10-06 16:56:09.3821|INFO|thread:15|AsyncReaderWriterLock|Released concurrent scheduler for operation: 490:GitClient.cs:199 after blocking 0.0261991s
2016-10-06 16:56:09.3821|INFO|thread:31|GitEnvironment|Process set up with this SSH Agent info: 9704:/tmp/ssh-bmfASbztsMVg/agent.7476
